,SalePrice
0,159000
1,271900
2,137500
3,248500
4,167000
5,140000
6,128000
7,213000
8,100000
9,190000
10,225000
11,94900
12,231500
13,180000
14,410000
15,184500
16,127000
17,120000
18,154000
19,137500
20,87000
21,161000
22,68500
23,301600
24,169000
25,387000
26,127500
27,230000
28,332200
29,90000
30,755000
31,155835
32,279000
33,128000
34,193500
35,140000
36,187000
37,195500
38,119000
39,76000
40,82500
41,190000
42,230000
43,91900
44,173000
45,257000
46,127000
47,269500
48,260000
49,158450
50,274970
51,146000
52,145000
53,55000
54,131000
55,382500
56,235000
57,378000
58,132500
59,190000
60,275000
61,110500
62,117000
63,127500
64,102000
65,158000
66,137000
67,142900
68,319000
69,485000
70,185000
71,167000
72,127000
73,192500
74,178000
75,198444
76,89000
77,155000
78,234000
79,255000
80,163000
81,116000
82,241600
83,362500
84,252678
85,250000
86,232000
87,225000
88,98000
89,201800
90,144000
91,61500
92,110000
93,201000
94,175000
95,202000
96,204000
97,119000
98,203000
99,98000
100,176485
101,298751
102,67000
103,171000
104,90000
105,215000
106,141000
107,176000
108,174000
109,156500
110,284000
111,119000
112,143000
113,231000
114,235000
115,155000
116,163000
117,159000
118,150750
119,110000
120,163000
121,146500
122,76500
123,174000
124,133000
125,76000
126,135000
127,284000
128,119000
129,260000
130,205000
131,63000
132,184000
133,171000
134,132000
135,250000
136,154900
137,320000
138,126500
139,136500
140,133500
141,160000
142,185000
143,239900
144,235000
145,145000
146,154000
147,168500
148,121000
149,176000
150,174500
151,120000
152,231713
153,153500
154,37900
155,156000
156,52500
157,105000
158,103000
159,105900
160,170000
161,114000
162,135000
163,260000
164,394617
165,144000
166,132000
167,175000
168,45000
169,146300
170,149000
171,135000
172,412500
173,143500
174,290000
175,257500
176,130000
177,745000
178,144000
179,170440
180,78000
181,170000
182,125600
183,150000
184,167840
185,82000
186,379000
187,159900
188,244000
189,144500
190,119916
191,535000
192,184750
193,113000
194,156932
195,115000
196,111500
197,163000
198,137000
199,130500
200,110000
201,100500
202,159950
203,170000
204,180000
205,57625
206,209200
207,193879
208,80000
209,136000
210,188000
211,158000
212,103500
213,86000
214,300000
215,250764
216,143500
217,225000
218,148800
219,189000
220,215000
221,55000
222,131000
223,105500
224,200500
225,178000
226,159900
227,178740
228,98000
229,124500
230,173500
231,143000
232,142100
233,264132
234,120000
235,80400
236,123000
237,144000
238,119000
239,143500
240,118000
241,180000
242,211000
243,106500
244,280000
245,82000
246,132000
247,118964
248,269500
249,381000
250,240000
251,116500
252,141000
253,165000
254,180500
255,168000
256,119600
257,170000
258,163000
259,172000
260,173000
261,174500
262,93500
263,130000
264,165000
265,128000
266,318000
267,140000
268,120000
269,76500
270,324000
271,135000
272,120875
273,129500
274,127000
275,239000
276,241500
277,179000
278,190000
279,233170
280,167500
281,81400
282,179900
283,162500
284,148000
285,84900
286,232600
287,164000
288,147500
289,236500
290,149900
291,147500
292,145000
293,143900
294,141500
295,82375
296,82500
297,470000
298,462000
299,285000
300,137000
301,256900
302,94750
303,86900
304,189000
305,140750
306,80900
307,185485
308,250000
309,167900
310,183500
311,179900
312,105000
313,176000
314,200000
315,194000
316,234000
317,279700
318,210250
319,150000
320,80000
321,131000
322,169500
323,127000
324,287000
325,185000
326,177500
327,373000
328,187750
329,155000
330,109500
331,256000
332,103000
333,195000
334,386250
335,127500
336,301000
337,183000
338,64000
339,190000
340,178900
341,390000
342,356000
343,275500
344,197500
345,146000
346,151500
347,61500
348,118000
349,142500
350,213500
351,292500
352,193000
353,181900
354,226000
355,246500
356,545224
357,128000
358,143000
359,117000
360,131000
361,166500
362,123000
363,140000
364,134450
365,184000
366,591587
367,255900
368,124000
369,147000
370,350000
371,148000
372,155000
373,144152
374,99500
375,136000
376,229000
377,120500
378,158000
379,295493
380,81000
381,129000
382,130000
383,135000
384,257500
385,152400
386,103200
387,98300
388,252000
389,135500
390,110000
391,149900
392,200000
393,177000
394,110000
395,235000
396,187500
397,120000
398,139000
399,236500
400,284000
401,225000
402,102000
403,115000
404,97000
405,228500
406,93850
407,395192
408,187000
409,236500
410,270000
411,165250
412,220000
413,140000
414,122000
415,140000
416,446261
417,135000
418,197900
419,112000
420,319900
421,233555
422,200000
423,145000
424,200000
425,132250
426,277000
427,257500
428,105000
429,85000
430,152000
431,108000
432,112000
433,232000
434,156500
435,210000
436,95000
437,85000
438,317000
439,148000
440,179600
441,65000
442,240000
443,260000
444,380000
445,213750
446,177000
447,158000
448,139950
449,310000
450,270000
451,130000
452,151000
453,80500
454,300000
455,155000
456,206000
457,179540
458,226700
459,221800
460,142500
461,220000
462,73000
463,332000
464,500067
465,148000
466,120500
467,113000
468,180000
469,320000
470,214500
471,145000
472,179200
473,306000
474,35000
475,165500
476,269790
477,214000
478,180500
479,213000
480,82500
481,178000
482,244000
483,169000
484,174000
485,248500
486,127500
487,112900
488,217300
489,187000
490,215000
491,556581
492,80000
493,150000
494,144000
495,115000
496,115000
497,142500
498,68000
499,105000
500,200000
501,183600
502,136500
503,215700
504,169990
505,322400
506,212999
507,176432
508,468000
509,204500
510,203000
511,114000
512,158000
513,136870
514,254900
515,156500
516,202500
517,159895
518,142500
519,84900
520,215200
521,129000
522,133000
523,314813
524,135000
525,113700
526,235500
527,140000
528,115000
529,235876
530,177500
531,149500
532,110000
533,169500
534,167000
535,149900
536,201000
537,153000
538,355000
539,128500
540,272000
541,150000
542,552000
543,168500
544,150000
545,165500
546,212109
547,173000
548,250000
549,194000
550,149500
551,377500
552,249000
553,342000
554,187687
555,225000
556,301500
557,124500
558,135000
559,129500
560,139000
561,153000
562,185000
563,235000
564,224900
565,99500
566,230500
567,424870
568,149300
569,147983
570,182000
571,215000
572,120000
573,135750
574,194000
575,131250
576,151000
577,164500
578,146000
579,199500
580,102776
581,134000
582,141000
583,136905
584,111250
585,34900
586,185000
587,300000
588,52000
589,153500
590,267916
591,252000
592,157500
593,315000
594,174000
595,165500
596,211500
597,228000
598,210000
599,146500
600,243000
601,175000
602,149900
603,172000
604,226750
605,221300
606,290000
607,271000
608,92000
609,195000
610,245000
611,296000
612,260000
613,115000
614,138000
615,80000
616,180000
617,111900
618,107500
619,192000
620,165000
621,179900
622,235000
623,105500
624,150900
625,108538
626,131000
627,128900
628,192000
629,207500
630,419005
631,125000
632,287090
633,137500
634,263000
635,192000
636,202500
637,188700
638,349265
639,168000
640,108959
641,155000
642,173900
643,135000
644,112000
645,119500
646,103000
647,375000
648,199900
649,156500
650,310000
651,185900
652,109500
653,119164
654,59000
655,263000
656,155000
657,143450
658,333168
659,240000
660,294000
661,118000
662,140000
663,290000
664,125000
665,160000
666,125000
667,204000
668,146000
669,118500
670,274300
671,115500
672,160000
673,298236
674,140000
675,156000
676,127500
677,143000
678,229456
679,237000
680,239500
681,157500
682,334000
683,91300
684,176000
685,205000
686,123000
687,194500
688,316600
689,130000
690,155000
691,98000
692,232698
693,187100
694,325000
695,138000
696,215000
697,235000
698,201000
699,164700
700,127000
701,119000
702,169000
703,186700
704,253000
705,193000
706,122600
707,205000
708,174000
709,114500
710,182000
711,96900
712,132500
713,159000
714,103600
715,128000
716,360000
717,147000
718,317500
719,176000
720,90350
721,220000
722,275000
723,119500
724,186000
725,123000
726,175900
727,130000
728,128000
729,79500
730,412083
731,157000
732,189000
733,158000
734,120500
735,175500
736,124500
737,150000
738,184100
739,248900
740,294000
741,325624
742,126000
743,200500
744,256000
745,290941
746,300000
747,338500
748,460000
749,152000
750,251000
751,181000
752,250000
753,141000
754,169000
755,130000
756,118500
757,190000
758,172500
759,250000
760,129000
761,150909
762,153000
763,300000
764,275000
765,162500
766,185850
767,190000
768,250000
769,217000
770,167900
771,136500
772,226500
773,116000
774,455000
775,89000
776,139500
777,173000
778,232000
779,219210
780,133000
781,241000
782,157000
783,372397
784,80000
785,134500
786,208900
787,193000
788,210000
789,167900
790,130000
791,221000
792,191000
793,116000
794,109500
795,110000
796,318061
797,149000
798,131000
799,239500
800,173000
801,245000
802,135000
803,190550
804,115000
805,109900
806,116000
807,120000
808,113500
809,155000
810,79000
811,200000
812,210000
813,124000
814,135500
815,119500
816,99900
817,117250
818,117000
819,118000
820,219990
821,166000
822,215000
823,200000
824,197000
825,123900
826,165000
827,230000
828,135900
829,125000
830,143750
831,145000
832,216000
833,122000
834,152000
835,127000
836,188000
837,135000
838,181755
839,133700
840,81300
841,263435
842,159500
843,93500
844,179000
845,115000
846,234500
847,207000
848,113000
849,350000
850,124500
851,100000
852,153000
853,196500
854,168000
855,165000
856,124000
857,157500
858,135000
859,153900
860,120000
861,305000
862,297900
863,207000
864,196000
865,240000
866,125000
867,135000
868,126000
869,145250
870,145000
871,126000
872,315000
873,293077
874,170000
875,177000
876,64000
877,172500
878,116000
879,118500
880,109500
881,242000
882,224000
883,149350
884,126175
885,202500
886,430000
887,128600
888,157500
889,337500
890,241500
891,215000
892,128000
893,110000
894,311872
895,100000
896,153000
897,155000
898,141000
899,197000
900,207000
901,160000
902,158000
903,159000
904,154300
905,153500
906,109000
907,64000
908,100000
909,152000
910,128500
911,155891
912,131750
913,127000
914,155000
915,118400
916,185000
917,115000
918,173733
919,160000
920,128200
921,226000
922,262000
923,147110
924,268000
925,344133
926,336860
927,105000
928,144800
929,170000
930,281000
931,187500
932,250000
933,291000
934,611657
935,246000
936,120000
937,126000
938,445000
939,134432
940,180000
941,146000
942,176000
